timestep,delta_dim,delta_magnitude,delta_sign,clean_success,clean_done_step,perturbed_success,perturbed_done_step,success_changed,done_step_delay,eef_pos_l2_final,eef_pos_l2_max,sim_state_l2_final,sim_state_l2_max,score
45,2,0.2,1,True,33,True,34,False,1,0.01976361684501171,0.021212423220276833,3.417469024658203,6.1851654052734375,1.8306407727301122
45,2,0.2,-1,True,33,True,38,False,5,0.01610422506928444,0.02067115344107151,2.6040096282958984,5.644619941711426,5.7711735285818575
45,3,0.05,1,True,33,True,33,False,0,0.0006781143601983786,0.003932020161300898,3.4578189849853516,5.697581768035889,0.6090783784165978
45,3,0.05,-1,True,33,True,37,False,4,0.0021882960572838783,0.0035363221541047096,1.9008245468139648,8.668573379516602,4.902220559492707
45,3,0.1,1,True,33,True,32,False,-1,0.0025622963439673185,0.007638143841177225,4.492376327514648,4.492376327514648,0.5256190711632371
45,3,0.1,-1,True,33,True,33,False,0,0.00214953301474452,0.007074234541505575,3.4283366203308105,5.059508323669434,0.5766931777819991
45,3,0.2,1,True,33,True,35,False,2,0.008441762998700142,0.01491660624742508,2.6753995418548584,5.059474468231201,2.655113509297371
45,3,0.2,-1,True,33,True,32,False,-1,0.0060581318102777,0.013818311505019665,5.922369480133057,5.922369480133057,0.7304200630635024
45,4,0.05,1,True,33,True,33,False,0,0.003983929753303528,0.003983929753303528,3.4527595043182373,5.057059288024902,0.5455452263355255
45,4,0.05,-1,True,33,True,36,False,3,0.002656517783179879,0.00404947716742754,1.333573579788208,5.244879245758057,3.5649826962500812
45,4,0.1,1,True,33,True,31,False,-2,0.005233467556536198,0.007763996720314026,4.005785942077637,4.157064914703369,0.4933464586734772
45,4,0.1,-1,True,33,True,36,False,3,0.003838891629129648,0.008396336808800697,0.8807852864265442,5.527087688446045,3.6366721369326114
45,4,0.2,1,True,33,True,33,False,0,0.011289454065263271,0.014443174935877323,4.360381126403809,5.087342262268066,0.6531659755855799
45,4,0.2,-1,True,33,True,35,False,2,0.007260174490511417,0.017501316964626312,2.5093038082122803,4.264880657196045,2.6015012353658675
45,5,0.05,1,True,33,True,31,False,-2,0.0005185990012250841,0.0010899545159190893,3.089385986328125,7.490298748016357,0.7599294199608266
45,5,0.05,-1,True,33,True,35,False,2,0.0017899938393384218,0.0017899938393384218,2.6674513816833496,6.813233852386475,2.6992233236320318
45,5,0.1,1,True,33,True,32,False,-1,0.0008041104883886874,0.001970166340470314,4.064375400543213,7.142752170562744,0.7339768804609776
45,5,0.1,-1,True,33,True,36,False,3,0.0021177581511437893,0.0021177581511437893,1.8172591924667358,6.223337173461914,3.6435112988576295
45,5,0.2,1,True,33,True,31,False,-2,0.001040228409692645,0.003587335580959916,3.733921527862549,3.733921527862549,0.4092655085958541
45,5,0.2,-1,True,33,True,39,False,6,0.0023922151885926723,0.0026515217032283545,1.8250648975372314,6.97454309463501,6.723969526495784
50,0,0.05,1,True,28,True,32,False,4,0.004894713871181011,0.004894713871181011,0.8455068469047546,3.7959272861480713,4.428539867326617
50,0,0.05,-1,True,28,True,26,False,-2,0.004578815307468176,0.004640794824808836,2.5459067821502686,2.5459067821502686,0.3009986264631152
50,0,0.1,1,True,28,True,34,False,6,0.009649301879107952,0.009649301879107952,0.9222381711006165,4.292509078979492,6.525743926689029
50,0,0.1,-1,True,28,True,25,False,-3,0.009025364182889462,0.009301562793552876,6.047174453735352,6.047174453735352,0.697733073309064
50,0,0.2,1,True,28,False,,True,20,0.018256211653351784,0.01826624572277069,1.4608299732208252,5.38374137878418,120.72103659510613
50,0,0.2,-1,True,28,True,27,False,-1,0.019419241696596146,0.019419241696596146,4.3993401527404785,5.048589706420898,0.6990513876080513
50,1,0.05,1,True,28,True,26,False,-2,0.005206783302128315,0.005206783302128315,3.6954712867736816,3.6954712867736816,0.4216149616986513
50,1,0.05,-1,True,28,True,34,False,6,0.005774926859885454,0.005774926859885454,2.3487284183502197,3.9264252185821533,6.45039179045707
50,1,0.1,1,True,28,True,27,False,-1,0.010157369077205658,0.010244481265544891,4.276017189025879,4.276017189025879,0.5300465315580368
50,1,0.1,-1,True,28,True,38,False,10,0.011447779834270477,0.011447779834270477,1.5667684078216553,9.911211967468262,11.105598995089531
